"","feature.name","w","rk","z","pval","fdr"
"Npepps",160,0.000631271739309223,3147.3,0.839723478336499,0.42015743617719,0.999843667608648
"Mrpl10",161,-0.00060320548938285,3646.9,-0.773059469192392,0.464125084420107,0.999843667608648
"Cyp51",162,-0.000312908858035163,5908.3,-0.394986586616542,0.703404470705779,0.999843667608648
"Tcf25",163,8.32670889317225e-05,7074.4,0.124812047475271,0.808691022418846,0.999843667608648
"Def8",164,-4.52333467449949e-05,7651.1,-0.044520967467577,0.866857400917938,0.999843667608648
"Itga3",165,-0.000323095082787253,5115,-0.407033070659037,0.622034404140601,0.999843667608648
"Itfg2",166,-0.000480418457965168,4568.4,-0.612246582370977,0.565171296326117,0.999843667608648
"Nrip2",167,-0.00124337061833058,880.5,-1.61203396329872,0.117691273537327,0.997903313092001
"Tulp3",168,-0.000351103464593884,5433.8,-0.444945315488063,0.661023222711296,0.999843667608648
"Gtf2h4",169,0.000378267619764235,5026.7,0.509244052572373,0.616727510729603,0.999843667608648
"Tubb5",170,-0.000701471244924918,2824.9,-0.902549768710377,0.377644079154388,0.999843667608648
"Ell2",171,-0.000802425094497615,2354,-1.0351443519337,0.318163985380056,0.999843667608648
"Jup",172,-0.000440586566275557,4646.2,-0.562210003464875,0.580528551605489,0.999843667608648
"Nom1",173,-0.00115993190457064,1159.8,-1.5017942108702,0.155401536639492,0.999843667608648
"Ergic1",174,0.000583290408419114,3342.4,0.778534756202591,0.447382061505479,0.999843667608648
"Ifrd1",175,0.000633875831864854,3142.3,0.843991797013306,0.418274104347399,0.999843667608648
"Stk38l",176,0.000197089997147907,6640.9,0.272667705849105,0.767457356772628,0.999843667608648
"Brpf1",177,0.000778299281138944,2255,1.03362537535184,0.320238452326006,0.999843667608648
"Akr1b3",178,-0.000971113853579452,1546.5,-1.25534498463249,0.216587179061396,0.999843667608648
"Gstt1",179,-0.00043072958287488,4696.3,-0.548433758860818,0.576801278934842,0.999843667608648
"Ddt",180,-0.000286193090233375,6103.9,-0.359214240336627,0.721098785551583,0.999843667608648
"Ddx18",181,0.000680210836391307,2670.9,0.904255454452069,0.374634567737478,0.999843667608648
"Ubl3",182,-0.00149339909214642,544.3,-1.93931276311563,0.0635861112385604,0.907093542161781
"Eef1e1",183,-0.00029990664231163,5718.7,-0.377660587760499,0.68289724499379,0.999843667608648
"Akt1",184,0.000131947184634097,7027.8,0.186682329377335,0.803703648460901,0.999843667608648
"Cldn15",185,0.000218685131373846,6726.5,0.300126736551524,0.771471836977792,0.999843667608648
"Tcirg1",186,0.000973486573262999,1381.4,1.28964678498503,0.208030672267303,0.999843667608648
"Naglu",187,-0.000293824499282688,6015.6,-0.370141824886922,0.716264995814387,0.999843667608648
