cellnames,dataset,tSNE_1,tSNE_2,KNNpred,SVMpred,IDconsensus,Tom_cells
F1S4_180124_313_D01,T18,48.79763495,32.54002855,non appliable,non appliable,Lamp5 Krt73,non appliable
F1S4_180124_313_F01,T18,-0.078775807,-13.53006904,non appliable,non appliable,Sncg Slc17a8,non appliable
F1S4_180124_313_G01,T18,9.842985938,-33.2878257,non appliable,non appliable,Lamp5 Lsp1,non appliable
F1S4_180124_314_B01,T18,19.16863532,-33.77298498,non appliable,non appliable,Lamp5 Lsp1,non appliable
F1S4_180130_309_B01,T18,-13.78279612,-8.67027386,non appliable,non appliable,Vip Col15a1 Pde1a,non appliable
F1S4_180130_309_C01,T18,2.128225159,24.54046648,non appliable,non appliable,Vip Pygm C1ql1,non appliable
F1S4_180130_309_D01,T18,-10.28002494,7.199282322,non appliable,non appliable,Vip Pygm C1ql1,non appliable
F1S4_180130_309_F01,T18,2.808849022,14.24729646,non appliable,non appliable,Vip Pygm C1ql1,non appliable
F1S4_180130_310_A01,T18,0.227004699,3.383981493,non appliable,non appliable,Vip Chat Htr1f,non appliable
F1S4_180130_310_B01,T18,27.6194519,2.280371622,non appliable,non appliable,Lamp5 Ntn1 Npy2r,non appliable
F1S4_180130_310_C01,T18,22.88071445,-34.25749001,non appliable,non appliable,Lamp5 Plch2 Dock5,non appliable
F1S4_180130_310_D01,T18,24.15813278,-2.027256039,non appliable,non appliable,Lamp5 Plch2 Dock5,non appliable
F1S4_180130_310_E01,T18,26.2268978,-12.86347325,non appliable,non appliable,Lamp5 Plch2 Dock5,non appliable
F1S4_180130_311_D01,T18,-5.396555517,10.30004314,non appliable,non appliable,Vip Pygm C1ql1,non appliable
F1S4_180130_311_E01,T18,51.57887956,-16.64232609,non appliable,non appliable,Lamp5 Plch2 Dock5,non appliable
F1S4_180130_311_F01,T18,32.40649457,6.491650394,non appliable,non appliable,Lamp5 Ntn1 Npy2r,non appliable
F1S4_180130_311_H01,T18,30.15966568,2.227954649,non appliable,non appliable,Lamp5 Ntn1 Npy2r,non appliable
F1S4_180130_330_B01,T18,30.54871843,4.42435516,non appliable,non appliable,Lamp5 Ntn1 Npy2r,non appliable
F1S4_180130_330_C01,T18,47.69531193,-8.340779514,non appliable,non appliable,Lamp5 Lsp1,non appliable
F1S4_180130_330_D01,T18,24.26165055,-7.915640105,non appliable,non appliable,Lamp5 Plch2 Dock5,non appliable
F1S4_180130_330_E01,T18,38.97603684,23.59247093,non appliable,non appliable,Lamp5 Fam19a1 Tmem182,non appliable
F1S4_180130_330_F01,T18,-8.697860081,4.410441453,non appliable,non appliable,Vip Chat Htr1f,non appliable
F1S4_180130_330_G01,T18,-9.92736415,3.663937294,non appliable,non appliable,Vip Chat Htr1f,non appliable
F1S4_180130_330_H01,T18,26.27351267,-10.65583491,non appliable,non appliable,Lamp5 Plch2 Dock5,non appliable
F1S4_180130_331_A01,T18,9.266207825,-29.09172061,non appliable,non appliable,Lamp5 Lsp1,non appliable
F1S4_180130_331_B01,T18,-0.731437715,7.166357053,non appliable,non appliable,Vip Chat Htr1f,non appliable
F1S4_180130_331_F01,T18,-7.424855424,-2.083502824,non appliable,non appliable,Vip Chat Htr1f,non appliable
F1S4_180130_331_G01,T18,26.07166603,-1.151374828,non appliable,non appliable,Lamp5 Ntn1 Npy2r,non appliable
F1S4_180130_332_A01,T18,21.67289325,0.173950127,non appliable,non appliable,Lamp5 Plch2 Dock5,non appliable
